OLID,type,location
OL1051488A,{'key': '/type/author'},
OL1225776A,{'key': '/type/author'},belgique
OL1621415A,{'key': '/type/author'},
OL191248A,{'key': '/type/author'},Madrid
OL22155A,{'key': '/type/author'},
OL267581A,{'key': '/type/author'},Paris
OL2716007A,{'key': '/type/author'},
OL289140A,{'key': '/type/author'},
OL31676A,{'key': '/type/author'},
OL3183274A,{'key': '/type/author'},
OL38111A,{'key': '/type/author'},
OL4963981A,{'key': '/type/author'},
OL5303966A,{'key': '/type/redirect'},/authors/OL7855810A
OL3555798A,{'key': '/type/author'},
OL3252576A,{'key': '/type/delete'},
OL3564586A,{'key': '/type/redirect'},/authors/OL3268450A
OL4128799A,{'key': '/type/author'},
OL4279975A,{'key': '/type/author'},
OL682877A,{'key': '/type/author'},Mumbai India
OL96979A,{'key': '/type/author'},
OL444118A,{'key': '/type/author'},
OL5056780A,{'key': '/type/author'},
OL6629507A,{'key': '/type/author'},
OL6808474A,{'key': '/type/author'},"Wilmington, Delaware"
OL709121A,{'key': '/type/author'},
OL80172A,{'key': '/type/author'},
OL80396A,{'key': '/type/author'},D-10117 Berlin Germany
OL4641164A,{'key': '/type/author'},
OL6492928A,{'key': '/type/author'},"Arnhem, Bronbeek"
OL6607402A,{'key': '/type/author'},
OL980093A,{'key': '/type/author'},
OL3672628A,{'key': '/type/author'},?
OL990802A,{'key': '/type/author'},
OL4280768A,{'key': '/type/author'},
OL6804873A,{'key': '/type/author'},
OL353331A,{'key': '/type/author'},
OL4134129A,{'key': '/type/author'},
OL510199A,{'key': '/type/author'},France
OL5993237A,{'key': '/type/author'},
OL6546102A,{'key': '/type/author'},"Washington, DC"
OL6632937A,{'key': '/type/author'},
OL674581A,{'key': '/type/author'},
OL849503A,{'key': '/type/author'},"England, UK"
OL3545691A,{'key': '/type/author'},
OL428006A,{'key': '/type/author'},
OL6555693A,{'key': '/type/author'},
OL6767195A,{'key': '/type/author'},
OL6787852A,{'key': '/type/author'},
OL73193A,{'key': '/type/author'},
OL91522A,{'key': '/type/author'},"Paris, France"
OL379086A,{'key': '/type/author'},Singapore
OL6744377A,{'key': '/type/author'},
OL785143A,{'key': '/type/author'},Germany
OL3255006A,{'key': '/type/author'},
OL563762A,{'key': '/type/author'},
OL618991A,{'key': '/type/author'},
OL71477A,{'key': '/type/author'},
OL983786A,{'key': '/type/author'},
OL4847283A,{'key': '/type/author'},
OL610546A,{'key': '/type/author'},
OL76437A,{'key': '/type/author'},
OL4542456A,{'key': '/type/author'},
OL666139A,{'key': '/type/author'},"England, U.K."
OL79039A,{'key': '/type/author'},
OL874506A,{'key': '/type/author'},
OL373518A,{'key': '/type/author'},
OL37436A,{'key': '/type/author'},
OL477936A,{'key': '/type/author'},
OL5828988A,{'key': '/type/author'},
OL736164A,{'key': '/type/author'},
OL3558131A,{'key': '/type/author'},
OL4648611A,{'key': '/type/author'},
OL6804126A,{'key': '/type/author'},
OL693561A,{'key': '/type/author'},
OL3742224A,{'key': '/type/author'},
OL478179A,{'key': '/type/author'},
OL83579A,{'key': '/type/author'},
OL345130A,{'key': '/type/author'},
OL3942542A,{'key': '/type/redirect'},/authors/OL32271A
OL6310071A,{'key': '/type/author'},"Fukuoka, Japan"
OL6804862A,{'key': '/type/author'},
OL699162A,{'key': '/type/author'},alwar
OL3284029A,{'key': '/type/author'},Kinston  N.C.
OL4509220A,{'key': '/type/author'},Japan
OL463059A,{'key': '/type/author'},
OL6718897A,{'key': '/type/author'},
OL740723A,{'key': '/type/author'},
OL77056A,{'key': '/type/author'},
OL798548A,{'key': '/type/author'},
OL559601A,{'key': '/type/author'},
OL5830374A,{'key': '/type/author'},
OL6716143A,{'key': '/type/author'},
OL41504A,{'key': '/type/author'},
OL4979933A,{'key': '/type/author'},
OL563911A,{'key': '/type/author'},Brazil
OL736249A,{'key': '/type/author'},
OL901092A,{'key': '/type/author'},
OL68224A,{'key': '/type/author'},
OL369579A,{'key': '/type/author'},"New York, NY"
OL897417A,{'key': '/type/author'},
OL89989A,{'key': '/type/author'},
OL916626A,{'key': '/type/author'},
OL39084A,{'key': '/type/author'},
OL6125246A,{'key': '/type/author'},
OL928958A,{'key': '/type/author'},
OL33439A,{'key': '/type/author'},
OL6355425A,{'key': '/type/author'},
OL6461794A,{'key': '/type/author'},Nigeria
OL910232A,{'key': '/type/author'},
OL933874A,{'key': '/type/author'},
OL4587420A,{'key': '/type/redirect'},/authors/OL3194718A
OL5822557A,{'key': '/type/author'},
OL6595631A,{'key': '/type/redirect'},/authors/OL3732753A
OL6804116A,{'key': '/type/author'},
OL866744A,{'key': '/type/author'},
OL52926A,{'key': '/type/author'},
OL5303966A,{'key': '/type/redirect'},/authors/OL7855810A
OL682877A,{'key': '/type/author'},Mumbai India
OL96979A,{'key': '/type/author'},
OL6629507A,{'key': '/type/author'},
OL6808474A,{'key': '/type/author'},"Wilmington, Delaware"
OL709121A,{'key': '/type/author'},
